,Unnamed: 0_x,ID,Name,Sex,Age,Height,Weight,NOC,Games,Year,Season,City,Sport,Event,Medal,Team,Unnamed: 0_y,Country Code_x,GDP,Country Code_y,Indicator Name,Indicator Code,Population,GDP Per Capita,
0,0,290,Fatima Abdul Majeed Hameed Al-Kirashi,F,14,173.9536082,64.12886598,BRN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,Bahrain,14,BHR,9062906915,BHR,"Population, total",SP.POP.TOTL,664614,13636.34668,
1,1,799,Nafissatou Moussa Adamou,F,14,172,72,NIG,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,Niger,801,NER,6942209595,NER,"Population, total",SP.POP.TOTL,17731634,391.5155025,
2,2,811,Natalie Cammile Adams (-Brannan),F,20,173,65,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly,,USA,865,USA,1.62E+13,USA,"Population, total",SP.POP.TOTL,313998379,51592.62303,
3,3,811,Natalie Cammile Adams (-Brannan),F,24,173,65,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,,USA,1084,USA,1.86E+13,USA,"Population, total",SP.POP.TOTL,323127513,57562.415,
4,4,868,"Frances ""Fran"" Adcock",F,20,178,72,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,,Australia,229,AUS,6.13E+11,AUS,"Population, total",SP.POP.TOTL,20127400,30455.99531,
5,5,903,Carolyn Adel,F,22,163,52,SUR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,,Suriname,187,SUR,892164394,SUR,"Population, total",SP.POP.TOTL,472390,1888.61829,
6,6,903,Carolyn Adel,F,22,163,52,SUR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,,Suriname,187,SUR,892164394,SUR,"Population, total",SP.POP.TOTL,472390,1888.61829,
7,7,960,Amanda Jo Adkins (-Schneider),F,23,173,61,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Backstroke,,USA,208,USA,1.03E+13,USA,"Population, total",SP.POP.TOTL,282162411,36503.79923,
8,8,980,"Rebecca ""Becky"" Adlington",F,19,179,70,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold,UK,645,GBR,2.89E+12,GBR,"Population, total",SP.POP.TOTL,61806995,46758.46156,
9,9,980,"Rebecca ""Becky"" Adlington",F,19,179,70,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold,UK,645,GBR,2.89E+12,GBR,"Population, total",SP.POP.TOTL,61806995,46758.46156,
10,10,980,"Rebecca ""Becky"" Adlington",F,23,179,70,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze,UK,864,GBR,2.66E+12,GBR,"Population, total",SP.POP.TOTL,63700300,41758.0451,
11,11,980,"Rebecca ""Becky"" Adlington",F,23,179,70,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze,UK,864,GBR,2.66E+12,GBR,"Population, total",SP.POP.TOTL,63700300,41758.0451,
12,12,1087,Evelina Afoa,F,17,162,60,SAM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,,Samoa,1040,WSM,786356315,WSM,"Population, total",SP.POP.TOTL,195125,4030.013145,
13,13,1112,Alphonsine Agahozo,F,16,160,50,RWA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,Rwanda,820,RWA,7315702176,RWA,"Population, total",SP.POP.TOTL,10788853,678.0796973,
14,14,1118,Francilla Agar (-Schofield),F,25,170,55,DMA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,Dominica,55,DMA,335845815,DMA,"Population, total",SP.POP.TOTL,69676,4820.107569,
15,15,1266,Ana Carolina Aguilera,F,19,161,53,ARG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Butterfly,,Argentina,7,ARG,2.84E+11,ARG,"Population, total",SP.POP.TOTL,37057452,7663.775696,
